timestamp,current_ma,brightness,avg_cpu_freq
1768402973,0,0,790000
1768402974,0,0,700000
1768402975,0,0,602500
1768402976,0,0,560000
1768402977,0,0,537500
1768402978,0,0,1825000
1768402979,0,0,1026625
1768403039,266,0,1025000
1768403040,213,0,1025000
1768403041,179,0,790000
1768403042,168,0,660000
1768403043,176,0,602500
1768403044,168,0,537500
1768403045,290,0,1380250
1768403046,203,0,1380250
1768403047,174,0,897500
1768403048,221,0,717500
1768403049,206,0,650000
1768403050,816,0,2150000
1768403051,155,0,537500
1768403052,225,0,537500
1768403053,167,0,537500
1768403054,239,0,537500
1768403055,222,0,537500
1768403056,279,0,537500
1768403057,605,0,1380250
1768403058,297,0,1380250
1768403059,167,0,787500
1768403061,186,0,537500
1768403062,494,0,2150000
1768403063,1007,0,2150000
1768403064,370,0,2150000
1768403065,222,0,1380250
1768403066,366,0,537500
1768403067,170,0,537500
1768403068,224,0,537500
1768403069,304,0,537500
1768403070,188,0,537500
1768403071,423,0,672500
1768403072,587,0,681250
1768403073,349,0,537500
1768403074,672,0,2150000
1768403075,1220,0,2150000
1768403076,932,0,2150000
1768403077,482,0,2150000
1768403078,165,0,2150000
1768403079,207,0,2150000
1768403080,174,0,537500
1768403081,213,0,537500
1768403082,234,0,537500
1768403083,150,0,537500
1768403084,171,0,537500
1768403085,173,0,537500
1768403086,180,0,537500
1768403087,138,0,537500
1768403088,170,0,537500
1768403089,361,0,537500
1768403090,260,0,537500
1768403091,159,0,537500
1768403092,254,0,537500
1768403093,173,0,537500
1768403094,173,0,537500
1768403095,152,0,597500
1768403096,168,0,537500
1768403097,194,0,537500
1768403098,494,0,537500
1768403099,249,0,623750
1768403100,179,0,537500
1768403101,167,0,537500
1768403102,275,0,1380250
1768403103,167,0,537500
1768403104,182,0,537500
1768403105,271,0,537500
1768403106,186,0,537500
1768403107,174,0,537500
1768403108,171,0,537500
1768403109,171,0,537500
1768403110,192,0,537500
1768403111,170,0,537500
1768403112,1010,0,2150000
1768403113,210,0,537500
1768403114,276,0,537500
1768403115,237,0,537500
1768403116,515,0,635000
1768403117,185,0,537500
1768403118,251,0,537500
1768403119,167,0,537500
1768403120,245,0,537500
1768403121,405,0,1380250
1768403122,433,0,1705250
1768403123,173,0,1380250
1768403124,162,0,537500
1768403125,260,0,537500
1768403126,164,0,537500
1768403127,207,0,537500
1768403128,167,0,537500
1768403129,319,0,537500
1768403130,267,0,537500
1768403131,243,0,537500
1768403132,155,0,1025000
1768403133,170,0,537500
1768403134,138,0,537500
1768403135,162,0,537500
